acheter| [sound:acheter.mp3]| to buy
advenir| [sound:advenir.mp3]| to happen
aider| [sound:aider.mp3]| to help, assist
aimer| [sound:aimer.mp3]| to like, to love
ajouter| [sound:ajouter.mp3]| to add
appeler| [sound:appeler.mp3]| to call, name, appeal
apporter| [sound:apporter.mp3]| to bring, bear
apprendre| [sound:apprendre.mp3]| to learn
arrêter| [sound:arr%C3%AAter.mp3]| to stop, arrest
attendre| [sound:attendre.mp3]| to wait, wait for, expect
connaître| [sound:conna%C3%AEtre.mp3]| to know, be acquainted
continuer| [sound:continuer.mp3]| to continue
contrôler| [sound:contr%C3%B4ler.mp3]| to check, inspect, test, supervise, control
corriger| [sound:corriger.mp3]| to correct
coucher| [sound:coucher.mp3]| to put to bed, lay, flatten
couper| [sound:couper.mp3]| to cut, switch off
courir| [sound:courir.mp3]| to run, race
coûter| [sound:co%C3%BBter.mp3]| to cost
croire| [sound:croire.mp3]| to believe
cuire| [sound:cuire.mp3]| to cook
décider| [sound:d%C3%A9cider.mp3]| to decide
décrire| [sound:d%C3%A9crire.mp3]| to describe
demander| [sound:demander.mp3]| to ask for
enlever| [sound:enlever.mp3]| to carry away, take away, remove
enseigner| [sound:enseigner.mp3]| to teach
entendre| [sound:entendre.mp3]| to hear, understand
envoyer| [sound:envoyer.mp3]| to send
espérer| [sound:esp%C3%A9rer.mp3]| to hope
essayer| [sound:essayer.mp3]| to try
étudier| [sound:%C3%A9tudier.mp3]| to study
inviter| [sound:inviter.mp3]| to invite
jouer| [sound:jouer.mp3]| to play, act (in a play), gamble
laver| [sound:laver.mp3]| to wash
lever| [sound:lever.mp3]| to lift, raise
lire| [sound:lire.mp3]| to read
manger| [sound:manger.mp3]| to eat
mettre| [sound:mettre.mp3]| to put (set), put on, place<br /><br />*many different meanings, and very common with expressions
nager| [sound:nager.mp3]| to swim
pleurer| [sound:pleurer.mp3]| to cry, weep, mourn
pleuvoir| [sound:pleuvoir.mp3]| to rain
porter| [sound:porter.mp3]| to wear, to carry
préférer| [sound:pr%C3%A9f%C3%A9rer.mp3]| to prefer
prendre| [sound:prendre.mp3]| to take (as in grab, bring, take notes,etc).<br /><br />*many uses, very common in expressions
se promener| [sound:se+promener.mp3]| to take a walk
promettre| [sound:promettre.mp3] | promise
proposer| [sound:proposer.mp3]| to propose, suggest
provenir| [sound:provenir.mp3]| to be from, be the result of, be due to
quitter| [sound:quitter.mp3]| to leave, quit, split up
raconter| [sound:raconter.mp3]| to tell, recount
recevoir| [sound:recevoir.mp3]| to receive, get
reconnaître| [sound:reconna%C3%AEtre.mp3]| to recognize, acknowledge
savoir| [sound:savoir.mp3]| to know (how)
sentir| [sound:sentir.mp3]| to feel, smell, perceive
souhaiter| [sound:souhaiter.mp3]| to wish
suivre| [sound:suivre.mp3]| to follow
susciter| [sound:susciter.mp3]| to arouse, give rise to
tenir| [sound:tenir.mp3]| to hold, grasp
terminer| [sound:terminer.mp3]| to terminate, finish, end
avoir besoin| [sound:avoir+besoin.mp3]| to need
blesser| [sound:blesser.mp3]| to hurt, injure, wound, offend
boire| [sound:boire.mp3]| to drink
brûler| [sound:br%C3%BBler.mp3]| to burn
cacher| [sound:cacher.mp3]| to hide
changer| [sound:changer.mp3]| to change
choisir| [sound:choisir.mp3]| to choose, select, pick
commencer| [sound:commencer.mp3]| to begin, start, commence
compléter| [sound:compl%C3%A9ter.mp3]| to make up, complete, complement, add to
comprendre| [sound:comprendre.mp3]| to understand, to include
dépêcher| [sound:d%C3%A9p%C3%AAcher.mp3]| to dispatch
détester| [sound:d%C3%A9tester.mp3]| to detest, dislike, hate
dire| [sound:dire.mp3]| to say, tell
donner | [sound:donner+.mp3]| to give
dormir| [sound:dormir.mp3]| to sleep
douter| [sound:douter.mp3]| to doubt
écouter| [sound:%C3%A9couter.mp3]| to listen
écrire| [sound:%C3%A9crire.mp3]| to write
effacer| [sound:effacer.mp3]| to erase, rub out, delete
élever| [sound:%C3%A9lever.mp3]| to raise, rear, bring up
fermer| [sound:fermer.mp3]| to close
finir| [sound:finir.mp3]| to finish, end, terminate, complete
forcer| [sound:forcer.mp3]| to force
fumer| [sound:fumer.mp3]| to smoke, steam
gagner| [sound:gagner.mp3]| to win, earn, gain
garder| [sound:garder.mp3]| to guard, keep, retain
goûter| [sound:go%C3%BBter.mp3]| to taste, have a snack, enjoy
haïr| [sound:ha%C3%AFr.mp3]| to hate
inclure| [sound:inclure.mp3]| to include, enclose
s'inquiéter| [sound:s%27inqui%C3%A9ter.mp3]| to worry, to be upset
neiger| [sound:neiger.mp3]| to snow
nettoyer| [sound:nettoyer.mp3]| to clean
noter| [sound:noter.mp3]| to write down| to notice| to mark, grade, assess
obéir| [sound:ob%C3%A9ir.mp3]| to obey
obtenir| [sound:obtenir.mp3]| to obtain, to get
occuper| [sound:occuper.mp3]| to occupy
