"English" "French" "Word.type" "Example" "Translation"
"the; him, her, it, them" "le, la, l', les " "determiner, pronoun " "vive la politique, vive l'amour " "long live politics, long live love "
"of, from, some, any" "de  " "determiner, preposition " "il ne rêve que d'argent et de plaisirs " "he only dreams of money and pleasure "
"a, an, one" "un  " "adjective, determiner, masculine noun, pronoun " "je me suis cassé un ongle " "I broke one of my fingernails "
"to, at, in" "à  " "preposition " "ils restent à l'école le plus longtemps possible " "they remain at school as long as possible "
"to be; being" "être  " "masculine noun,verb " "tout le monde veut être beau " "everybody wants to be beautiful "
"and" "et  " "conjunction " "et les larmes se remirent à couler " "and the tears started flowing again "
"in, by" "en  " "adverb,preposition,pronoun " "je suis retournée en Espagne en septembre " "I returned to Spain in September "
"to have" "avoir  " "masculine noun,verb " "on était six donc tu peux pas avoir une conversation " "there were six of us so you can't have a conversation "
"that, which, who, whom" "que  " "adverb,conjunction,pronoun " "c'est un soldat. mais que fait-il ici? " "it's a soldier. but what's he doing here? "
"for, in order to" "pour  " "preposition " "elle jouait pour gagner " "she played to win "
"in, into, from" "dans  " "preposition " "je reviendrai dans dix minutes " "I will return in 10 minutes "
"this, that" "ce  " "determiner,pronoun " "je ne déteste pas cet homme " "I do not detest this man "
"he, it" "il  " "pronoun " "allez voir s'il est blessé " "go see if he is injured "
"who, whom" "qui  " "pronoun " "je ne sais pas à qui m'adresser " "I don't know who to talk to "
"not" "ne  " "adverb " "nous ne faisons pas du très bon travail " "we are not doing very good work "
"on, upon" "sur  " "adjective,preposition " "t'avais une chance sur un million " "you had one chance in a million "
"oneself, himself, herself, itself, themselves" "se  " "pronoun " "avec ce traité, le Japon se rapproche des Etats-Unis " "with this treaty, Japan brings itself closer to the U.S. "
"not, n't, footstep" "pas  " "adverb,masculine noun(no distinct plural) " "non, ne touchez pas! " "no, don't touch it! "
"more, no more" "plus  " "adverb " "il est considérablement plus jeune que moi " "he's considerably younger than I am "
"can, to be able to" "pouvoir  " "masculine noun,verb " "tu peux jouer de la guitare électrique " "you can play electric guitar "
"by" "par  " "preposition " "il s'y trouvait par hasard " "he found himself there by accident "
"I" "je  " "pronoun " "je suis contente de vous revoir " "I am happy to see you again "
"with" "avec  " "preposition " "vous voulez aller au ciné avec moi? " "do you want to go to a movie with me? "
"all, very" "tout  " "adverb,determiner,noun/adjective,pronoun " "comme vous voyez, tout est propre " "as you see, everything is clean "
"to do, make" "faire  " "masculine noun,verb " "qu'est-ce qu'il fait? " "what's he doing? "
"his, her, its; sound; bran" "son  " "determiner,masculine noun " "un ami ingénieur du son m'aide pour les arrangements " "a sound engineer friend of mine helped me with the arrangements "
"to put, place" "mettre  " "verb " "je peux me mettre à votre table? " "may I sit at your table? "
"other" "autre  " "determiner,noun/adjective(no distinct feminine),pronoun " "il y a un autre problème " "there's another problem "
"one, we" "on  " "pronoun " "on tire et on pose les questions ensuite " "we shoot first and ask questions later "
"but" "mais  " "adverb,conjunction,interjection " "je ne suis pas riche, mais je connais la vérité " "I'm not rich, but I know the truth "
"we, us" "nous  " "pronoun " "nous devons nous défendre nous-mêmes " "we must defend ourselves "
"like, as" "comme  " "adverb,conjunction " "Tony et moi, on est comme des frères " "Tony and I, we're like brothers "
"or" "ou  " "conjunction " "il en reste du café ou pas? " "is there some coffee left or not? "
"if, whether" "si  " "adverb,conjunction,masculine noun invariable " "aujourd'hui, notre économie va si mal " "today our economy is going so poorly "
"them, their, theirs" "leur  " "determiner,adjective(no distinct feminine),pronoun " "l'énergie solaire assurait leur survie " "solar energy assured their survival "
"there" "y  " "adverb,masculine noun invariable,pronoun " "c'est certain qu'on va y aller " "it's for certain that we'll be going there "
"to say" "dire  " "masculine noun,verb " "je décrochais le téléphone sans rien dire à personne " "I picked up the telephone receiver without saying anything to anyone "
"she, her" "elle  " "pronoun " "j'étais fou amoureux. elle m'aimait bien " "I was head-over-heels in love. she loved me a lot "
"to have to, owe; duty" "devoir  " "masculine noun,verb " "je dois travailler sans la moindre entrave " "I must work without the least bit of hindrance "
"before" "avant  " "adjective invariable,adverb,masculine noun,preposition " "tu vas te pencher en avant " "you're going to lean forward "
"two" "deux  " "determiner,masculine noun invariable " "il prend le train deux fois par semaine pour affaires " "he takes the train on business twice per week "
"same, even, self" "même  " "adjective(no distinct feminine),adverb,pronoun " "ils ne s'excusent même pas " "they don't even excuse themselves "
"to take" "prendre  " "verb " "elle lui prit la main " "she took him by the hand "
"too, also, as" "aussi  " "adverb,conjunction " "je rêvais aussi de beaucoup voyager " "I also dreamed of traveling a lot "
"that, the one, he, him" "celui  " "pronoun " "tu es celui que je respecte le plus " "you're the one I respect the most "
"to give" "donner  " "verb " "j'aurais donné ma vie pour lui " "I would have given my life for him "
"well" "bien  " "adjective  invariable,adverb,masculine noun " "tout va bien maintenant " "everything's going well now "
"where" "où  " "adverb,pronoun " "on ne dit pas où il vit " "they aren't saying where he lives "
"time, times" "fois  " "feminine noun (no distinct plural) " "lève la main une fois " "raise your hand one time "
"you" "vous  " "pronoun " "ici, vous avez une personnalité publique " "here, you are a public personality "
"again, yet" "encore  " "adverb " "tu as encore menti à ta femme " "you lied once again to your wife "
"new" "nouveau  " "adjective,masculine noun " "il a construit une nouvelle vie ici " "he made a new life for himself here "
"to go" "aller  " "masculine noun,verb " "tu devrais aller te coucher, tu as l'air vanné " "you should go to bed, you look wiped out "
"that, it" "cela  " "pronoun " "cela demande de l'intégrité et du courage " "that requires integrity and courage "
"between" "entre  " "preposition " "je marche entre les maisons " "I'm walking between the houses "
