FR ty number EN
"zéro" "numéral" 0 "zero"
"un" "numéral" 1 "one"
"deux" "numéral" 2 "two"
"trois" "numéral" 3 "three"
"quatre" "numéral" 4 "four"
"cinq" "numéral" 5 "five"
"six" "numéral" 6 "six"
"sept" "numéral" 7 "seven"
"huit" "numéral" 8 "eight"
"neuf" "numéral" 9 "night"
"dix" "numéral" 10 "ten"
"onze" "numéral" 11 "eleven"
"douze" "numéral" 12 "twelve"
"treize" "numéral" 13 "thirteen"
"quatorze" "numéral" 14 "fourteen"
"quinze" "numéral" 15 "fifteen"
"seize" "numéral" 16 "sixteen"
"dix-sept" "numéral" NA "seventeen"
"dix-huit" "numéral" NA "eighteen"
"dix-neuf" "numéral" NA "nineteen"
"vingt" "numéral" NA "twenty"
"vingt et un" "numéral" NA "twenty-one"
"vingt-deux" "numéral" NA "twenty-two"
"trente" "numéral" NA "thirty"
"quarante" "numéral" NA "forty"
"cinquante" "numéral" NA "fifty"
"soixante" "numéral" NA "sixty"
"soixante-dix" "numéral" NA "seventy"
"soixante et onze" "numéral" NA "seventy-one"
"soixante-douze" "numéral" NA "seventy-two"
"quatre-vingts" "numéral" NA "eighty"
"quatre-vingt-un" "numéral" NA "eighty-one"
"quatre-vingt-dix" "numéral" NA "ninety"
"quatre-vingt-onze" "numéral" NA "ninety-one"
"cent" "numéral" NA "hundred"
"cent un" "numéral" NA "hundred one"
"cent vingt" "numéral" NA "hundred twenty"
"deux cents" "numéral" NA "two hundred"
"trois cents" "numéral" NA "three hundred"
"quatre cents" "numéral" NA "four hundred"
"cinq cents" "numéral" NA "five hundred"
"six cents" "numéral" NA "six hundred"
"sept cents" "numéral" NA "seven hundred"
"huit cents" "numéral" NA "eight hundred"
"neuf cents" "numéral" NA "nine hundred"
"mille" "numéral" NA "thousand"
"deux mille" "numéral" NA "two thousand"
"million" "numéral" NA "million"
"milliard" "numéral" NA "billion"
"premier" "numéral" NA "first"
# "première" "numéral" "f" "first"
"deuxième" "numéral" NA "second"
"troisième" "numéral" NA "third"
"quatrième" "numéral" NA "fourth"
"cinquième" "numéral" NA "fifth"
"sixième" "numéral" NA "sixth"
"septième" "numéral" NA "seventh"
"huitième" "numéral" NA "eighth"
"neuvième" "numéral" NA "ninth"
"dixième" "numéral" NA "tenth"
"onzième" "numéral" NA "eleventh"
"douzième" "numéral" NA "twelfth"
"treizième" "numéral" NA "thirteenth"
"quatorzième" "numéral" NA "fourteenth"
"quinzième" "numéral" NA "fifteenth"
"seizième" "numéral" NA "sixteenth"
"dix-septième" "numéral" NA "seventeenth"
"dix-huitième" "numéral" NA "eighteenth"
"dix-neuvième" "numéral" NA "nineteenth"
"vingtième" "numéral" NA "twentieth"
"vingt et unième" "numéral" NA "twenty-first"
"vingt-deuxième" "numéral" NA "twenty-second"
"vingt-huitième" "numéral" 28 "twenty-eighth"
"trentième" "numéral" 30 "thirtieth"
"quarantième" "numéral" 40 "fortieth"
"cinquantième" "numéral" 50 "fiftieth"
"soixantième" "numéral" 60 "sixtieth"
"soixante-dixième" "numéral" 70 "seventieth"
"soixante et onzième" "numéral" 71 "seventy-first"
"soixante-douzième" "numéral" 72 "seventy-second"
"quatre-vingtième" "numéral" 80 "eightieth"
"quatre-vingt-unième" "numéral" NA "first"
"quatre-vingt-dixième" "numéral" NA "first"
"quatre-vingt-onzième" "numéral" NA "first"
"centième" "numéral" NA "first"
"cent unième" "numéral" NA "first"
"cent vingtième" "numéral" NA "first"
"deux centième" "numéral" NA "first"
"trois centième" "numéral" NA "first"
"quatre centième" "numéral" NA "first"
"cinq centième" "numéral" NA "first"
"six centième" "numéral" NA "first"
"sept centième" "numéral" NA "first"
"huit centième" "numéral" NA "first"
"neuf centième" "numéral" NA "first"
"millième" "numéral" NA "thousandth"
