"X1" "X2"
"aanbieden (thema 6)" "to offer"
"          (bood aan, boden aan; heeft aangeboden)" NA
"aanbrengen (, thema 7)" "to place, to fix"
"          (bracht aan, brachten aan; heeft aangebracht)" NA
"aanhouden ( thema 7)" "to continue, to persevere"
"          (hield aan, hielden aan; heeft aangehouden)" NA
"aankomen (thema 7)" "to touch"
"          (kwam aan, kwamen aan; is aangekomen)" NA
"aankomen (thema 10)" "to arrive"
"          (kwam aan, kwamen aan; is aangekomen)" NA
"aanleggen (thema 9)" "to install"
"          (legde aan, legden aan; heeft aangelegd)" NA
"aanmelden (thema 8)" "to register"
"          (meldde zich aan, meldden zich aan; heeft zich aangemeld)" NA
"aanpassen (thema 8)" "to adapt"
"          (paste zich aan, pasten zich aan; heeft zich aangepast)" NA
"aanspreken (thema 6)" "to appeal to"
"          (sprak aan, spraken aan; heeft aangesproken)" NA
"aantrekken ( thema 3)" "to put on"
"          (trok aan, trokken aan; heeft aangetrokken)" NA
"aanwijzen (thema 7)" "to point out"
"          (wees aan, wezen aan; heeft aangewezen)" NA
"aanzetten (thema 7)" "to put on, to turn on"
"          (zette aan, zetten aan; heeft aangezet)" NA
"accepteren (thema 4)" "to accept"
"          (accepteerde, accepteerden; heeft geaccepteerd)" NA
"afdrogen (thema 7)" "to dry (the dishes)"
"          (droogde af, droogden af; heeft afgedroogd)" NA
"afmaken (thema 7)" "to finish, to complete"
"          (maakte af, maakten af; heeft afgemaakt)" NA
"afrekenen ( thema 3)" "to pay"
"          (rekende af, rekenden af; heeft afgerekend)" NA
"afspoelen (thema 7)" "to rinse, to wash away"
"          (spoelde af, spoelden af; heeft afgespoeld)" NA
"afspreken (thema 4)" "to make an appointment"
"          (sprak af, spraken af; heeft afgesproken)" NA
"afwassen (thema 7)" "to do the dishes"
"          (waste af, wasten af; heeft afgewassen)" NA
"bakken ( thema 7)" "to bake, to fry"
"          (bakte, bakten; heeft gebakken)" NA
"balen (thema 4)" "to be disappointed"
"          (baalde, baalden; heeft gebaald" NA
"beantwoorden (thema 1)" "to answer"
"          (beantwoordde, beantwoordden; heeft beantwoord)" NA
"bedoelen (thema 6)" "to mean"
"          (bedoelde, bedoelden; heeft bedoeld)" NA
"beginnen (thema 2)" "to begin, to start"
"          (begon, begonnen; is begonnen)" NA
"begrijpen (thema 2)" "to understand"
"          (begreep, begrepen; heeft begrepen)" NA
"behangen (thema 6)" "to paper (walls)"
"          (behangde, behangden; heeft behangen)" NA
"bekijken ( thema 6)" "to look at, to study"
"          (bekeek, bekeken; heeft bekeken)" NA
"bellen (thema 5)" "to call, to phone"
"          (belde, belden; heeft gebeld)" NA
"beloven (thema 8)" "to promise"
"          (beloofde, beloofden; heeft beloofd)" NA
"bepalen (thema 9)" "to determine"
"          (bepaalde, bepaalden; heeft bepaald)" NA
"bereiken (thema 9)" "to reach, to achieve"
