INF;OTT.SIN.PE1;OTT.SIN.PE2;OTT.SIN.PE3;OTT.PLU.PE1;OTT.PLU.PE2;OTT.PLU.PE3;OVT.SIN.PE1;OVT.SIN.PE2;OVT.SIN.PE3;OVT.PLU.PE1;OVT.PLU.PE2;OVT.PLU.PE3;VTT.SIN.PE1;VTT.SIN.PE2;VTT.SIN.PE3;VTT.PLU.PE1;VTT.PLU.PE2;VTT.PLU.PE3;EXE
aantrekken;trek aan;trekt aan;trekt aan;trekken aan;trekken aan;trekken aan;trok aan;trok aan;trok aan;trokken aan;trokken aan;trokken aan;heb aangetrokken ;hebt aangetrokken ;heeft aangetrokken ;hebben geaantrokken;hebben geaantrokken;hebben geaantrokken;
accepteren;accepteer;accepteert;accepteert;accepteren;accepteren;accepteren;accepteerde;accepteerde;accepteerde;accepteerden;accepteerden;accepteerden;heb geaccepteerd;hebt geaccepteerd;heeft geaccepteerd;hebben geaccepteerd;hebben geaccepteerd;hebben geaccepteerd;
antwoorden;antwoord;antwoordt;antwoordt;antwoorden;antwoorden;antwoorden;antwoordde;antwoordde;antwoordde;antwoordden;antwoordden;antwoordden;heb geantwoord;hebt geantwoord;heeft geantwoord;hebben geantwoord;hebben geantwoord;hebben geantwoord;De docent heeft snel de vragen geantwoord.
bakken;bakt;bakt;bakt;bakken;bakken;bakken;bakte;bakte;bakte;bakten;bakten;bakten;heb gebakken;hebt gebakken;heeft gebakken;hebben gebakken;hebben gebakken;hebben gebakken;Heb je het taart gebakken?
beginnen;begint;begint;begint;beginnen;beginnen;beginnen;begon;begon;begon;begonnen;begonnen;begonnen;ben begonnen;bent begonnen;is begonnen;zijn begonnen;zijn begonnen;zijn begonnen;De les is om negen uur begonnen.
begrijpen;begrijpt;begrijpt;begrijpt;begrijpen;begrijpen;begrijpen;begreep;begreep;begreep;begrepen;begrepen;begrepen;heb begrepen;hebt begrepen;heeft begrepen;hebben begrepen;hebben begrepen;hebben begrepen;
bewegen;beweegt;beweegt;beweegt;bewegen;bewegen;bewegen;bewoog;bewoog;bewoog;bewogen;bewogen;bewogen;heb bewogen;hebt bewogen;heeft bewogen;hebben bewogen;hebben bewogen;hebben bewogen;
bezoeken;bezoekt;bezoekt;bezoekt;bezoeken;bezoeken;bezoeken;bezocht;bezocht;bezocht;bezochten;bezochten;bezochten;heb bezocht;hebt bezocht;heeft bezocht;hebben bezocht;hebben bezocht;hebben bezocht;Ik heb je gisteren bezocht.
bidden;bidt;bidt;bidt;bidden;bidden;bidden;bad/-en;bad/-en;bad/-en;baden;baden;baden;heb gebeden;hebt gebeden;heeft gebeden;hebben gebeden;hebben gebeden;hebben gebeden;
bieden;biedt;biedt;biedt;bieden;bieden;bieden;bood;bood;bood;boden;boden;boden;heb geboden;hebt geboden;heeft geboden;hebben geboden;hebben geboden;hebben geboden;Wij bieden de beste kwaliteit voor de laagste prijs.
